Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
Exodus	CrusadeRedux	08b-58		Agenda							  	Dream Card		08b-58	Legacy. You may only sponsor this Agenda if you are untainted and have more than 13 Power. At the end of each turn, if none of your Characters participated in a Conflict, add a Distance counter to this card; otherwise remove all Distance counters. If there are 5 Distance counters on this card at the end of turn, you score a Standard Victory.
Alwyn	CrusadeRedux	08b-21	6	Character	Neutral	3	3				  	Dream Card		08b-21	Legacy. Techno-mage. Immediately demote Alwyn if your Unrest is higher than 1. Once per turn, if Alwyn is your only Techno-mage, you may give him 1 damage as an action to Ready him.
Andre Sabbat	CrusadeRedux	08b-23	4	Character	Neutral	2	2				Strife  	Dream Card		08b-23	Andre Sabbat cannot be attacked by characters with Doom Marks. When Andre Sabbat attacks a character who has a Doom Mark, Andre Sabbat takes no damage. Andre Sabbat may not be promoted.
"Mr Jones"	CrusadeRedux	08b-1		Character	Human	2	2	7			  	Dream Card		08b-1	Multiple. Any Home Faction or ISA member may sponsor “Mr. Jones” at normal cost. “Mr. Jones” inflicts 1 damage to target Character with Psi when he rotates to participate in a Conflict.
Lochley	CrusadeRedux	08b-93		Character	Human	7	3		4		  	Dream Card		08b-93	Crusade. Must replace any version of Elizabeth Lochley, transferring all attached cards and marks.  May be replaced by any version of Elizabeth Lochley, transferring all attached cards and marks. The game does not end if Babylon 5 reaches 20 Influence.
Apocalypse Box	CrusadeRedux	08b-25	4	Character							  	Dream Card		08b-25	Irrevocable. Limited. Characters take additional damage equal to their Doom Marks when attacked.  Rotate to reveal the top 5 cards in your deck. Return the revealed cards to the top of your deck in any order, then the Character with this Enhancement gains a Doom Mark.  Rotate to give the Character with this Enhancement a Doom Mark and a mark of your choice until the end of turn.
Applied Terror	CrusadeRedux	08b-26		Character							Doom  	Dream Card		08b-26	Play on a Drakh, Ranger or Techno-mage.  Reveal when one of your other Characters is attacked and this Character is ready. Rotate this Character to change the target of the attack to this Character, and the attacker gains a Doom Mark.
Apriori Flentak & Nix	CrusadeRedux	08b-27	15	Character	Neutral	6	4		2		  	Dream Card		08b-27	Explorer. Marrata. The cost for you to sponsor and promote Apriori Flentax and Nix is reduced by the number of Explorer cards in your faction.
Blaylock	CrusadeRedux	08b-31	9	Character	Neutral	3	3		3		  	Dream Card		08b-31	Legacy. Techno-Mage. Blaylock can Sponsor and Promote Techno-mages as if he was an Inner Circle Character and at printed cost.
Bruder	CrusadeRedux	08b-32	8	Character	Human	3		10			Conspiracy  Doom	Dream Card		08b-32	Psi Corps Character. Psi Cop. When Bruder attacks and neutralizes a neutral teep, that teep is immediately removed from the game.
Captain Anderson	CrusadeRedux	08b-33	5	Character	Human	2			3		Destiny  Doom	Dream Card		08b-33	Crusade. Any player who controls a Babylon 5 fleet may sponsor and promote Leonard Anderson at normal cost.
